{58|82}
{19|45}
{87|10}
{10|37}
{90|60}
{31|10}
{95|11}
{15|7}
{38|89}
{21|26}
{31|70}
{85|80}
{84|33}
{3|39}
{88|81}
{79|24}
{17|93}
{75|55}
{40|95}
{42|52}
{40|61}
{95|2}
{0|52}
{95|22}
{2|60}
{95|11}
{2|8}
{63|68}
{41|94}
{32|96}
{81|70}
{38|60}
{76|3}
{30|87}
{15|3}
{70|35}
{82|14}
{23|70}
{14|21}
{25|46}
{56|45}
{81|36}
{86|14}
{100|100}
{59|72}
{16|37}
{3|35}
{88|50}
{66|14}
{94|72}
{54|77}
{15|44}
{76|52}
{57|17}
{96|75}
{24|89}
{1|96}
{81|30}
{66|35}
{36|94}
{64|14}
{100|34}
{35|33}
{65|53}
{54|14}
{48|39}
{77|81}
{8|32}
{18|5}
{36|31}
{45|87}
{75|24}
{55|7}
{71|44}
{78|34}
{82|55}
{70|51}
{64|27}
